Job Title,Company Name,Location,Skills Required,Link
Senior Python Developer (Minya),OdooTec -,"Minya, Egypt ",Full TimeOn-siteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science,https://wuzzuf.net/jobs/p/ndgp8pzpvzyg-senior-python-developer-minya-odootec-minya-egypt
Python Developer,Boca Pro  -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Python · AWS · Computer Science · Django · Engineering · Flask · front-end · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/tlwvmv5vjrvq-python-developer-boca-pro-cairo-egypt
Data Entry (With Python Automation Experience),Confidential -,"Madina, Saudi Arabia ",Full TimeRemoteEntry Level · 1 - 2 Yrs of Exp · Administration · Analyst/Research · Microsoft Office · Python Scripting · Python · Data Entry · Administration · Customer Service · Data · entry,https://wuzzuf.net/jobs/p/bouqsly4isqd-data-entry-with-python-automation-experience-madina-saudi-arabia
Python (Django) Developer,Teqneia -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · APIs · Development · Information Technology (IT) · Computer Science · Git · Odoo,https://wuzzuf.net/jobs/p/ddbfgv871jlo-python-django-developer-teqneia-giza-egypt
Senior Python AI Developer,Vigtas -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 8 Yrs of Exp · IT/Software Development · AI · CI/CD · Python · Software Development · APIs · NLP · TensorFlow · Docker · Agile,https://wuzzuf.net/jobs/p/vab6snsugoi6-senior-python-ai-developer-vigtas-cairo-egypt
Backend Engineer (Python) - EdTech Startup,Darsel -,"Cairo, Egypt ",Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Python · backend · APIs · Backend Engineering · Software Engineering · Software Development · Amazon Web Services · Google Cloud Platform · Computer Science,https://wuzzuf.net/jobs/p/ivmknt2i3nip-backend-engineer-python---edtech-startup-darsel-cairo-egypt
Senior Python Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Development · Computer Science · Software Development · Software Engineering · APIs · Information Technology (IT) · Communication skills · Team Leadership,https://wuzzuf.net/jobs/p/v2i2p7c24z4p-senior-python-developer-odootec-cairo-egypt
Renewable Energy Engineer,Storlytics -- -,"Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 10 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Other · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/ctfjnmfv8tge-renewable-energy-engineer-storlytics-cairo-egypt
Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas,https://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT),https://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt
Odoo Developer,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeRemoteExperienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Odoo ERP · Odoo Development · SQL · MongoDB · Python · Web Development,https://wuzzuf.net/jobs/p/m5v5lvghreho-odoo-developer-cairo-egypt
Embeded Systems Team Lead / Senior,SILOHUB -,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 11 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Engineering · Embedded System · Embedded Programming · Embedded Software,https://wuzzuf.net/jobs/p/8mjmew0v2hbz-embeded-systems-team-lead-senior-silohub-cairo-egypt
Full Stack Developer,Offertivo -,"Heliopolis, Cairo, Egypt ",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Python · JavaScript · MySQL · React · Git · Linux · RESTful APIs,https://wuzzuf.net/jobs/p/ypb5ehdhmbxy-full-stack-developer-offertivo-cairo-egypt
Backend API Developer,AM SaleTech -,"Cairo, Egypt ",InternshipRemoteStudent · IT/Software Development · API · backend · Computer Science · developer · Information Technology (IT) · Software Engineering · Software Development · Design · Docker,https://wuzzuf.net/internship/jaywmltsif0u-backend-api-developer-am-saletech-cairo-egypt
Odoo Implementer,Premier UPVC -,"Badr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo implementation · Odoo · ERP · Implementation · PostgreSQL · Python · Information Technology (IT) · Accounting,https://wuzzuf.net/jobs/p/ty2cacmewqex-odoo-implementer-premier-upvc-cairo-egypt
